Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
28 BARKER ROAD 白加道28號,680000000.0,5.0,6.5,396.7, Peak/South, Hong Kong Island
Caronia 楠樺居,600000000.0,4.0,3.0,477.34, Mid Level Central, Hong Kong Island
110 Repulse Bay Road 淺水灣道110號,350000000.0,4.0,4.0,381.0, Peak/South, Hong Kong Island
Rock Cliff 石盧,350000000.0,3.0,4.0,405.8, Sai Kung, New Territories East
56 REPULSE BAY ROAD 淺水灣道56號,350000000.0,6.0,5.0,471.58, Southern District/Repulse Bay, Hong Kong Island
Bay Villas 南源,338000000.0,4.0,5.0,341.88, Peak/South, Hong Kong Island
6 Stanley Beach Road 赤柱灘道6號,303000000.0,4.0,4.5,292.37, Peak/South, Hong Kong Island
Residence Bel-air* 貝沙灣,300000000.0,4.0,3.0,367.25, Bel-Air, Hong Kong Island
Ondina Heights 安寧台,280000000.0,4.0,4.0,268.86, Peak/South, Hong Kong Island
Residence Bel-air* 貝沙灣,280000000.0,4.0,6.0,389.26, Bel-Air, Hong Kong Island
Yue Hei Yuen 裕熙園,268000000.0,4.0,4.0,319.21, Peak/South, Hong Kong Island
Imperial Cullinan 瓏璽,250000000.0,11.0,12.0,382.95, Olympic Station, Kowloon
12-16 TAI TAM ROAD 大潭道12-16號,245000000.0,4.0,4.0,311.23, Southern District/Repulse Bay, Hong Kong Island
12-16 TAI TAM ROAD 大潭道12-16號,238000000.0,4.0,4.0,295.25, Southern District/Repulse Bay, Hong Kong Island
The Hazelton 榛園,230000000.0,4.0,2.0,245.82, Peak/South, Hong Kong Island
SEYMOUR 懿峰,228000000.0,7.0,5.0,290.6, Mid Level West, Hong Kong Island
56 REPULSE BAY ROAD 淺水灣道56號,220000000.0,3.0,3.0,222.97, Southern District/Repulse Bay, Hong Kong Island
MANDERLY GARDEN 文禮苑,210000000.0,4.0,4.0,325.53, Peak/South, Hong Kong Island
CLUNY PARK CLUNY PARK,206500000.0,4.0,4.0,220.09, Mid Level Central, Hong Kong Island
Flamingo Garden 飛鵝花園,200000000.0,4.0,4.5,274.44, Sai Kung, New Territories East
Kennedy Park At Central 君珀,180000000.0,6.0,6.0,276.29, Mid Level Central, Hong Kong Island
Manhattan Tower 曼赫頓大廈,178000000.0,3.0,4.0,205.78, Peak/South, Hong Kong Island
BAGUIO VILLA 碧瑤灣,160000000.0,6.0,5.0,257.34, Peak/South, Hong Kong Island
Villa Rosa 玫瑰園,155000000.0,4.0,5.0,307.88, Peak/South, Hong Kong Island
