Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
10 SHOUSON HILL ROAD EAST 壽臣山道東 10 號,1000000.0,7.0,6.0,1030.11, Southern District/Repulse Bay, Hong Kong Island
7-15 Mount Kellett Road 加列山道7號,930000.0,11.0,12.0,1022.12, Peak/South, Hong Kong Island
7-15 Mount Kellett Road 加列山道7號,520000.0,6.0,7.0,529.55, Peak/South, Hong Kong Island
Tavistock 騰皇居,500000.0,4.0,3.0,488.11, Mid Level Central, Hong Kong Island
The Lily 淺水灣道129號,400000.0,5.0,3.0,491.74, Peak/South, Hong Kong Island
The Nautilus 南灣道16A號,380000.0,5.0,4.0,326.0, Peak/South, Hong Kong Island
SEVERN 8 倚巒,380000.0,4.0,5.0,332.69, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,368000.0,4.0,4.0,351.82, Peak/South, Hong Kong Island
Branksome Crest BRANKSOME CREST,350000.0,3.0,3.0,348.39, Sheung Wan/Central/Admiralty, Hong Kong Island
Cheuk Nang Lookout 卓能山莊,350000.0,4.0,3.0,412.21, Peak/South, Hong Kong Island
Dynasty Court 帝景園,320000.0,4.0,5.0,433.11, Mid Level Central, Hong Kong Island
Caronia 楠樺居,300000.0,4.0,3.0,477.34, Mid Level Central, Hong Kong Island
Shouson Peak -,300000.0,4.0,1.0,269.51, Peak/South, Hong Kong Island
Imperial Cullinan 瓏璽,300000.0,11.0,12.0,382.95, Olympic Station, Kowloon
Kelletteria,300000.0,5.0,5.0,363.44, Peak/South, Hong Kong Island
110 Repulse Bay Road 淺水灣道110號,298000.0,4.0,4.0,381.0, Peak/South, Hong Kong Island
Rock Cliff 石盧,298000.0,3.0,4.0,405.8, Sai Kung, New Territories East
The Mount Austin The Mount Austin,298000.0,4.0,4.0,467.95, Peak/South, Hong Kong Island
73 Plantation Road 種植道73號,300000.0,2.0,3.0,299.89, Peak/South, Hong Kong Island
Tavistock 騰皇居,280000.0,4.0,3.0,356.56, Mid Level Central, Hong Kong Island
7-15 Mount Kellett Road 加列山道7號,280000.0,4.0,4.0,292.92, Peak/South, Hong Kong Island
Interocean Court,268000.0,5.0,3.0,247.59, Peak/South, Hong Kong Island
Tavistock 騰皇居,270000.0,4.0,3.0,356.56, Mid Level Central, Hong Kong Island
Interocean Court,268000.0,5.0,3.0,247.59, Peak/South, Hong Kong Island
51-55 Deep Water Bay Road 深水灣道51-55號,265000.0,4.0,3.5,341.14, Peak/South, Hong Kong Island
8 Deep Water Bay Drive 深水灣徑8號,255000.0,4.0,4.5,316.52, Southern District/Repulse Bay, Hong Kong Island
